100[90] 98[180] 97[180] 99[270] 
96 95[90] 93[180] 90[180] 
94[180] 87[180] 86[180] 85[90] 
84[180] 79[180] 92 89 
78[180] 77[180] 91 80 
74[180] 73[180] 82[180] 81[180] 
88[180] 72[180] 71[180] 69[180] 
68[180] 67[180] 66[180] 76[180] 
83[180] 65[90] 63[180] 58[270] 
62[180] 61[90] 56[180] 54[180] 
60[180] 53[90] 75[90] 48[180] 
52[270] 70[270] 64[90] 47[90] 
50[180] 59[180] 57[180] 44[180] 
55[90] 51[180] 42[270] 46[270] 
43[180] 49[180] 45[180] 41[180] 
39[270] 37[270] 28[270] 40[270] 
38[180] 34[180] 35[180] 33[180] 
36[180] 27[180] 24[180] 23[180] 
32 31[90] 29[180] 26[180] 
30[180] 21[90] 25[180] 11[180] 
20[180] 19[90] 15[180] 22 
17[270] 18[90] 16[270] 10 
9[180] 5[90] 4[180] 6[90] 
2 13[90] 3[90] 7[90] 
8 12 13 14 
